house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac
leu,75,687849,1107,1199,600,0,0.9256,1.0,2,1,1,"0,0,617,600;573,0,626,600",2,0,0.0,0,0.0,2,1,1,"0,0,617,600;573,0,626,600",2,0,0.0,0,0.0
leu,75,687868,1126,1200,567,1,0.93248,0.99844,2,0,2,"611,18,581,537;9,11,589,548",2,0,0.0,0,0.0,2,0,2,"611,19,581,536;9,11,589,548",2,0,0.0,0,0.0
leu,75,687887,1145,1200,580,1,0.89844,0.87724,2,1,1,"7,0,624,580;584,0,614,580",2,0,0.0,0,0.0,2,0,2,"7,9,587,564;603,14,590,558",2,0,0.0,0,0.0
leu,75,687906,1164,1200,555,1,0.93185,0.92567,2,1,1,"0,0,603,555;594,0,606,555",2,0,0.0,0,0.0,2,0,2,"609,12,581,533;11,13,586,530",2,0,0.0,0,0.0
leu,75,687924,1182,1157,600,1,0.92333,0.87354,2,1,1,"0,0,594,600;586,0,571,583",2,0,0.0,0,0.0,2,0,2,"583,10,566,583;7,17,566,569",2,0,0.0,349,0.00138
leu,75,687943,1201,1200,595,1,0.91373,0.99772,2,0,2,"602,13,588,570;11,12,587,572",2,0,0.0,0,0.0,2,0,2,"606,13,584,570;11,12,583,572",2,0,0.0,0,0.0
leu,75,687962,1220,1200,571,1,0.91548,0.88636,2,1,1,"0,0,589,571;566,0,604,571",2,0,0.0,0,0.0,2,0,2,"7,14,586,550;601,18,593,544",2,0,0.0,840,0.00334
leu,75,687981,1239,1200,581,0,0.91629,1.0,2,1,1,"17,0,596,581;598,0,602,581",2,0,0.0,0,0.0,2,1,1,"17,0,596,581;598,0,602,581",2,0,0.0,0,0.0
leu,75,687999,1257,1200,579,1,0.89463,0.78877,2,1,1,"0,3,554,576;600,0,582,572",2,0,0.0,0,0.0,2,0,2,"7,9,592,563;608,13,585,557",2,0,0.0,3,1e-05
leu,75,688018,1276,1200,581,1,0.91242,0.90904,2,1,1,"6,0,618,581;567,0,633,581",2,0,0.0,0,0.0,2,0,2,"604,10,589,564;7,13,588,555",2,0,0.0,0,0.0
leu,75,688037,1295,1200,564,0,0.92037,1.0,2,1,1,"0,0,598,564;608,0,592,564",2,0,0.0,0,0.0,2,1,1,"0,0,598,564;608,0,592,564",2,0,0.0,0,0.0
leu,75,688056,1314,1200,584,0,0.94431,1.0,2,1,1,"0,0,576,576;625,0,575,571",2,0,0.0,0,0.0,2,1,1,"0,0,576,576;625,0,575,571",2,0,0.0,0,0.0
leu,75,688074,1332,1200,540,1,0.91856,0.80245,2,1,1,"0,0,570,540;634,0,566,540",2,0,0.0,0,0.0,2,0,2,"612,7,581,526;6,16,597,512",2,0,0.0,3259,0.01369
leu,75,688093,1351,1197,600,1,0.91762,0.83526,2,1,1,"20,29,590,571;589,0,608,598",2,0,0.0,0,0.0,2,0,2,"598,14,592,579;7,17,583,567",2,0,0.0,0,0.0
leu,75,688112,1370,1162,600,1,0.89932,0.85384,2,1,1,"0,0,603,600;598,36,564,564",2,0,0.0,0,0.0,2,0,2,"8,10,572,581;590,8,565,585",2,0,0.0,28,0.00011
leu,75,688131,1389,1200,551,1,0.92243,0.76983,2,1,1,"46,0,568,538;625,0,562,546",2,0,0.0,0,0.0,2,0,2,"605,8,588,536;7,10,589,533",2,0,0.0,0,0.0
leu,75,688150,1408,1200,559,1,0.92438,0.86086,2,1,1,"17,0,600,559;561,0,604,559",2,0,0.0,0,0.0,2,0,2,"601,12,592,540;7,9,586,542",2,0,0.0,0,0.0
leu,75,688168,1426,1200,564,1,0.91668,0.83706,2,1,1,"5,0,588,559;637,0,563,559",2,0,0.0,0,0.0,2,0,2,"604,13,590,544;7,9,589,547",2,0,0.0,0,0.0
leu,75,688187,1445,1200,548,1,0.9069,0.85136,2,1,1,"26,0,600,548;595,0,578,548",2,0,0.0,0,0.0,2,0,2,"608,8,585,533;7,13,592,528",2,0,0.0,0,0.0
leu,75,688206,1464,1200,559,1,0.90923,0.84941,2,1,1,"0,0,591,559;638,0,562,559",2,0,0.0,0,0.0,2,0,2,"603,13,590,539;7,14,588,536",2,0,0.0,0,0.0
leu,75,688225,1483,1159,600,1,0.92146,0.8916,2,1,1,"0,0,611,597;576,7,583,593",2,0,0.0,0,0.0,2,0,2,"598,10,554,584;7,22,581,561",2,0,0.0,1003,0.00405
leu,75,688243,1501,1200,568,0,0.90895,1.0,2,1,1,"0,0,602,568;583,0,617,568",2,0,0.0,0,0.0,2,1,1,"0,0,602,568;583,0,617,568",2,0,0.0,0,0.0
leu,75,688262,1520,1200,556,1,0.92938,0.90056,2,1,1,"0,0,607,556;588,0,612,556",2,0,0.0,0,0.0,2,0,2,"7,15,591,534;603,11,591,537",2,0,0.0,0,0.0
leu,75,688281,1539,1200,549,1,0.94178,0.76485,2,1,1,"74,9,548,540;587,0,548,548",2,0,0.0,0,0.0,2,0,2,"7,12,587,526;620,6,547,547",2,0,0.0,0,0.0
leu,75,688300,1558,1200,596,1,0.92309,0.9073,2,1,1,"15,0,612,596;587,0,613,596",2,0,0.0,0,0.0,2,0,2,"614,10,574,577;10,21,593,556",2,0,0.0,0,0.0
leu,75,688318,1576,1200,591,1,0.91294,0.94419,2,0,2,"585,16,605,560;10,13,573,568",2,1,0.0,619,0.00245,2,0,2,"589,16,601,560;7,17,562,562",2,0,0.0,0,0.0
leu,75,688337,1595,1200,591,0,0.9163,0.99573,2,0,2,"9,27,592,538;614,10,576,572",2,0,0.0,0,0.0,2,0,2,"9,27,592,538;614,10,576,572",2,0,0.0,0,0.0
leu,75,688356,1614,1133,600,1,0.92467,0.99791,2,0,2,"597,11,527,580;9,40,579,521",2,0,0.0,2481,0.01061,2,0,2,"598,11,526,580;9,40,577,521",2,0,0.0,2427,0.01039
leu,75,688375,1633,1138,600,1,0.93146,0.99701,2,0,2,"14,22,562,556;592,14,533,574",2,0,0.0,132,0.00056,2,0,2,"14,22,562,556;592,17,533,571",2,0,0.0,132,0.00056
