id,side,h,w,avg_bg,polarity,otsu_t,close_k,n_valid,n_need_recovery,n_will_hough,max_hough_roi_px,scan_wall_s,scan_cpu_s
755513,rev,1440,1500,33.34,BIN,135.0,7,8,8,8,1373295,0.383,0.69
755514,obv,1440,1500,30.07,BIN,130.0,7,5,4,4,4002,0.25,0.435
755514,rev,1440,1500,31.6,BIN,128.0,7,1,0,0,0,0.129,0.196
755515,obv,1440,1500,29.28,BIN,127.0,7,3,2,2,6375,0.262,0.347
755515,rev,1440,1500,29.76,BIN,138.0,7,7,7,7,1305920,0.431,0.7
755516,obv,1440,1500,29.74,BIN,121.0,7,17,17,17,1271832,1.622,2.208
755516,rev,1440,1500,30.93,BIN,130.0,7,9,9,9,1203276,1.412,1.764
755517,obv,1440,1500,31.84,BIN,119.0,7,13,13,13,1731532,0.872,1.373
755517,rev,1440,1500,31.92,BIN,126.0,7,7,7,7,1456849,0.363,0.675
755518,obv,1440,1500,32.0,BIN,133.0,7,7,5,5,1492843,1.36,1.59
755518,rev,1440,1500,30.04,BIN,132.0,7,1,0,0,0,0.126,0.2
755519,obv,1440,1500,32.91,BIN,124.0,7,1,0,0,0,0.172,0.237
755519,rev,1440,1500,30.75,BIN,130.0,7,10,9,9,1516592,1.45,1.857
755521,obv,1440,1500,96.0,BIN,134.0,7,7,7,7,1432280,0.356,0.655
755521,rev,1440,1500,96.0,BIN,130.0,7,1,0,0,0,0.122,0.193
755523,obv,1440,1500,32.1,BIN,124.0,7,3,2,2,13724,0.669,0.807
755523,rev,1440,1500,31.71,BIN,122.0,7,6,5,5,13167,0.32,0.558
755524,obv,1440,1500,33.51,BIN,121.0,7,10,10,10,1895184,1.02,1.438
755524,rev,1440,1500,32.81,BIN,129.0,7,8,8,8,1796995,0.726,1.1
755525,obv,1440,1500,30.51,BIN,129.0,7,8,7,7,10033,0.501,0.815
755525,rev,1440,1500,30.78,BIN,128.0,7,9,9,9,1266478,0.526,0.919
755526,obv,1440,1500,31.04,BIN,130.0,7,2,2,2,1193292,0.16,0.273
755526,rev,1440,1500,31.95,BIN,129.0,7,4,4,4,1209012,0.257,0.445
755527,obv,1440,1500,32.23,BIN,108.0,7,25,25,25,2145000,2.51,3.188
755527,rev,1440,1500,32.01,BIN,116.0,7,13,13,13,1892160,1.221,1.677
755528,obv,1440,1500,31.8,BIN,117.0,7,14,14,14,1704330,0.771,1.286
755528,rev,1440,1500,32.92,BIN,111.0,7,49,49,49,2103000,3.14,4.855
755529,obv,1440,1500,28.89,BIN,123.0,7,4,3,3,21780,0.24,0.385
